it,bt,km,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,car_links,Top Feature 3,Top Feature 4,Top Feature 5,Top Feature 6,Top Feature 7,Top Feature 8,commonIcon,Top Feature 9,Insurance Validity,Fuel Type,Seats,RTO,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Alloy Wheel Size,city,color
0,SUV,54097,1,Honda,Honda WR-V,2018,5668,i-VTEC VX,8.25,https://www.cardekho.com/used-car-details/used-Honda-Wr-v-I-vtec-Vx-cars-Bangalore_2c495d42-9fad-41ef-aca2-8a7405c91ea1.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Comprehensive,Petrol,5,KA04,Manual,18,1199,88.7,110,white,i-VTEC Petrol Engine,4,4,SOHC,MPFi,No,No,3999,1734,1601,2555,1295,1290,1103,1340,5,FWD,Hydraulic,5.3,Disc,Drum,164.26,15.31,"Tubeless,Radial",5,363,16,Bangalore,white
0,Sedan,35288,2,Honda,Honda City,2018,5628,i-VTEC VX,8.38,https://www.cardekho.com/buy-used-car-details/used-Honda-City-I-vtec-Vx-cars-Bangalore_fa888344-5db8-4bf9-a0cf-c91a092f7236.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Comprehensive,Petrol,5,KA53,Manual,17,1497,117.6,145,others,i VTEC Engine,4,4,SOHC,PGM-Fi,No,No,4440,1695,1495,2600,1475,1465,1084,1459,5,FWD,Power,5.3,Disc,Drum,189,9.64,"Tubeless,Radial",4,510,16,Bangalore,others
0,Hatchback,70314,1,Maruti,Maruti Swift,2019,10404,VXI AMT,6.18,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-Amt-cars-Bangalore_35b2044a-22cd-4990-9ccb-14e12e1e1080.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Zero Dep,Petrol,5,KA05,Automatic,23,1197,88.5,113,silver,K Series Dual jet,4,4,SOHC,PGM-Fi,No,No,3845,1735,1530,2450,1530,1530,875,1335,5,FWD,Hydraulic,4.8,Disc,Drum,165,12.36,"Radial, Tubeless",5,268,16,Bangalore,silver
0,SUV,96939,2,Renault,Renault Duster,2017,5048,110PS Diesel RxZ AWD,8.75,https://www.cardekho.com/used-car-details/used-Renault-Duster-110ps-Diesel-Rxz-Awd-cars-Bangalore_71743f62-1996-49e3-8d30-79608f6f5333.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Diesel,5,KA04,Manual,20,1461,108.45,245,black,dCi THP Diesel Engine,4,4,DOHC,CRDi,Yes,No,4315,1822,1695,2673,1560,1567,1350,1889,6,AWD,Power,5.2,Disc,Drum,168,14.2,"Tubeless,Radial",5,410,16,Bangalore,black
0,Hatchback,44824,2,Nissan,Nissan Micra,2010,3305,XE,3.9,https://www.cardekho.com/used-car-details/used-Nissan-Micra-Xe-cars-Bangalore_1b4d1f9e-a0d5-4865-8d31-910ca8f5e9be.htm,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Driver Air Bag,Passenger Side Rear View Mirror,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA03,Manual,18,1198,75,104,red,In Line Petrol Engine,3,4,DOHC,Electronic Fuel Injection,No,No,3780,1665,1530,2450,1470,1475,930,1340,5,FWD,Power,4.65,Disc,Drum,158,15.2,"Tubeless,Radial",5,251,14,Bangalore,red
0,Sedan,92673,2,Honda,Honda City,2012,1262,E,5,https://www.cardekho.com/used-car-details/used-Honda-City-E-cars-Bangalore_a62812c1-5b14-47c9-aa19-ec9317e15abe.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA03,Manual,17,1497,116.3,146,white,SOHC i-VTEC,4,4,SOHC,EFI (Electronic Fuel Injection),No,No,4440,1695,1485,2550,1295,1290,1090,1340,5,FWD,Power,5.3,Disc,Drum, ,12.36,Tubeless Tyre,4,506,15,Bangalore,white
0,Sedan,77130,1,Toyota,Toyota Yaris,2018,6403,J CVT BSIV,7.95,https://www.cardekho.com/used-car-details/used-Toyota-Yaris-J-Cvt-Bsiv-cars-Bangalore_bf9db4dc-bcee-4270-9ce7-08ea316c2ebb.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA05,Automatic,18,1496,105.5,140,white,1.5 Dual VVT-i Engine,4,4,DOHC,EFI,No,No,4425,1730,1495,2550,1295,1290,1110,1580,7,FWD,Power,5.1,Disc,Drum,165,12.36,"Tubless, Radial",4,476,17,Bangalore,white
0,SUV,45000,1,Ford,Ford Ecosport,2017,7354,1.5 Petrol Titanium Plus AT,7.75,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Plus-At-cars-Bangalore_6fa935f6-32cb-4198-8954-fe11a16d3c3e.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA01,Automatic,15,1496,120.69,149,brown,Ti-VCT Petrol Engine,3,4,DOHC,Direct Injection,No,No,3998,1765,1647,2519,1295,1290,1300,1705,6,FWD,Hydraulic,5.3,Disc,Drum,171.43,12.51,"Tubeless,Radial",5,352,R16,Bangalore,brown
0,Hatchback,27025,2,Maruti,Maruti Baleno,2017,6782,Zeta CVT,7.45,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-Zeta-Cvt-cars-Bangalore_74e86c95-186c-4705-875f-10a4a0b0c997.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Third Party,Petrol,5,KA02,Automatic,20,1197,81.8,113,grey,1.2L VVT Engine,4,4,DOHC,MPFI,No,No,3995,1745,1510,2520,1505,1515,910,1360,5,FWD,Hydraulic,4.9,Disc,Drum,165,12.79,"Tubeless,Radial",5,339,R16,Bangalore,grey
0,SUV,105153,1,Kia,Kia Seltos,2019,7110,GTK,11.25,https://www.cardekho.com/used-car-details/used-Kia-Seltos-Gtk-cars-Bangalore_cf0d032f-1aef-41f8-8f5e-cf08ec3d1ea9.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Third Party,Petrol,5,KA04,Manual,16,1353,138,242,white,1.2L VVT Engine,4,4,DOHC,GDI,Yes,No,4315,1800,1645,2610,1295,1290,1445,1340,6,2WD,Power,5.3,Disc,Drum,165,11.8,"Tubeless,Radial",5,433,17,Bangalore,white
